,Date,Price,Open,High,Low,Vol.,Change %
Definition,Data date,Close price(24:00 on that day),Open price(00:00 on that day),Highest price on that day,Lowest price on that day,Bitcoin number*close price,
,8-Mar-23,"22,069.60","22,197.80","22,274.30","21,888.90",343.08K,-0.58%
,7-Mar-23,"22,197.80","22,410.10","22,535.10","21,968.60",304.75K,-0.95%
,6-Mar-23,"22,410.00","22,428.20","22,595.40","22,320.10",215.31K,-0.08%
,5-Mar-23,"22,428.30","22,347.10","22,636.70","22,213.50",160.57K,0.36%
,4-Mar-23,"22,347.10","22,354.70","22,403.70","22,167.40",123.93K,-0.03%
,3-Mar-23,"22,354.40","23,465.60","23,473.40","22,051.90",344.63K,-4.73%
,2-Mar-23,"23,465.40","23,642.20","23,780.50","23,208.70",249.26K,-0.75%
,1-Mar-23,"23,642.20","23,130.60","23,914.10","23,025.30",328.77K,2.21%
,28-Feb-23,"23,130.50","23,494.00","23,595.00","23,033.80",275.10K,-1.55%
,27-Feb-23,"23,494.10","23,558.70","23,876.20","23,166.80",297.65K,-0.27%
,26-Feb-23,"23,558.70","23,166.10","23,671.80","23,066.00",209.12K,1.69%
,25-Feb-23,"23,166.10","23,191.30","23,215.30","22,777.40",198.35K,-0.11%
,24-Feb-23,"23,191.50","23,936.40","24,123.40","22,970.30",367.99K,-3.11%
,23-Feb-23,"23,936.30","24,186.60","24,590.40","23,637.90",417.46K,-1.03%
,22-Feb-23,"24,186.60","24,450.70","24,474.30","23,593.40",400.24K,-1.08%
,21-Feb-23,"24,450.70","24,839.50","25,236.80","24,160.80",395.97K,-1.57%
,20-Feb-23,"24,839.50","24,302.80","25,085.40","23,868.60",363.02K,2.21%
,19-Feb-23,"24,302.90","24,631.30","25,175.20","24,273.70",312.64K,-1.33%
,18-Feb-23,"24,631.40","24,573.50","24,838.90","24,457.00",223.77K,0.24%
,17-Feb-23,"24,573.50","23,538.20","24,984.70","23,373.00",523.85K,4.39%
,16-Feb-23,"23,539.60","24,328.10","25,233.80","23,525.90",484.50K,-3.24%
,15-Feb-23,"24,327.90","22,198.50","24,330.90","22,050.80",401.53K,9.59%
,14-Feb-23,"22,198.50","21,776.90","22,308.60","21,556.20",378.39K,1.96%
,13-Feb-23,"21,772.60","21,782.70","21,887.50","21,418.70",312.04K,-0.07%
,12-Feb-23,"21,786.80","21,859.90","22,080.70","21,653.10",211.65K,-0.33%
,11-Feb-23,"21,859.80","21,627.40","21,902.90","21,605.30",182.07K,1.04%
,10-Feb-23,"21,635.00","21,792.50","21,933.60","21,491.70",352.79K,-0.72%
,9-Feb-23,"21,792.50","22,964.60","23,003.60","21,744.60",425.44K,-5.10%
,8-Feb-23,"22,964.60","23,251.70","23,425.10","22,691.70",289.12K,-1.23%
,7-Feb-23,"23,251.70","22,761.80","23,338.80","22,748.20",318.98K,2.15%
,6-Feb-23,"22,761.80","22,936.00","23,130.60","22,633.70",278.58K,-0.76%
,5-Feb-23,"22,936.00","23,326.90","23,423.40","22,766.50",217.26K,-1.66%
,4-Feb-23,"23,323.80","23,431.20","23,571.80","23,269.80",170.27K,-0.46%
,3-Feb-23,"23,431.20","23,429.10","23,694.10","23,233.80",349.36K,0.02%
,2-Feb-23,"23,427.60","23,726.20","24,207.20","23,398.10",382.86K,-1.26%
,1-Feb-23,"23,725.60","23,124.70","23,784.50","22,809.60",333.18K,2.60%
,31-Jan-23,"23,125.10","22,832.20","23,262.90","22,724.90",289.38K,1.28%
,30-Jan-23,"22,832.20","23,746.00","23,794.00","22,560.00",339.62K,-3.88%
,29-Jan-23,"23,753.10","23,023.50","23,952.90","22,973.30",320.86K,3.15%
,28-Jan-23,"23,027.90","23,074.60","23,182.30","22,889.80",156.96K,-0.20%
,27-Jan-23,"23,074.60","23,016.00","23,480.30","22,602.90",310.36K,0.25%
,26-Jan-23,"23,016.00","23,055.20","23,259.50","22,869.00",320.97K,-0.17%
,25-Jan-23,"23,055.10","22,632.50","23,779.00","22,366.30",388.18K,1.87%
,24-Jan-23,"22,632.50","22,916.30","23,156.10","22,517.10",334.17K,-1.23%
,23-Jan-23,"22,915.50","22,709.00","23,161.80","22,527.90",327.85K,0.91%
,22-Jan-23,"22,707.80","22,775.70","23,068.70","22,323.00",280.64K,-0.30%
,21-Jan-23,"22,775.70","22,677.50","23,304.50","22,461.10",382.69K,0.43%
,20-Jan-23,"22,677.20","21,074.90","22,718.50","20,879.30",373.74K,7.57%
,19-Jan-23,"21,081.20","20,670.60","21,169.40","20,669.70",275.76K,1.99%
,18-Jan-23,"20,670.60","21,137.10","21,584.10","20,448.30",388.67K,-2.21%
,17-Jan-23,"21,137.10","21,184.40","21,506.40","20,926.20",310.04K,-0.22%
,16-Jan-23,"21,184.20","20,880.10","21,416.80","20,698.90",337.46K,1.46%
,15-Jan-23,"20,879.80","20,956.00","21,032.20","20,585.70",205.80K,-0.37%
,14-Jan-23,"20,958.20","19,926.90","21,185.60","19,898.60",458.21K,5.17%
,13-Jan-23,"19,927.00","18,850.80","19,981.60","18,723.80",426.67K,5.71%
,12-Jan-23,"18,851.30","17,941.00","19,055.30","17,915.50",522.01K,5.07%
,11-Jan-23,"17,942.30","17,440.50","17,989.80","17,323.90",291.53K,2.89%
,10-Jan-23,"17,439.10","17,180.10","17,491.00","17,151.70",247.14K,1.51%
,9-Jan-23,"17,180.10","17,119.00","17,390.80","17,107.10",301.24K,0.36%
,8-Jan-23,"17,119.00","16,943.60","17,119.00","16,913.80",144.84K,1.04%
,7-Jan-23,"16,943.60","16,950.90","16,979.60","16,909.70",110.48K,-0.04%
,6-Jan-23,"16,950.90","16,829.80","17,012.30","16,707.60",233.47K,0.72%
,5-Jan-23,"16,829.80","16,852.20","16,877.90","16,772.30",178.96K,-0.13%
,4-Jan-23,"16,852.10","16,674.20","16,976.50","16,656.50",247.39K,1.07%
,3-Jan-23,"16,674.20","16,673.10","16,773.20","16,607.20",178.73K,0.00%
,2-Jan-23,"16,674.30","16,618.40","16,766.90","16,551.00",136.03K,0.34%
,1-Jan-23,"16,618.40","16,537.50","16,621.90","16,499.70",107.84K,0.49%
,31-Dec-22,"16,537.40","16,607.20","16,635.90","16,487.30",130.44K,-0.42%
,30-Dec-22,"16,607.20","16,636.40","16,644.40","16,360.00",192.76K,-0.18%
,29-Dec-22,"16,636.40","16,546.20","16,659.10","16,496.60",181.47K,0.55%
,28-Dec-22,"16,546.20","16,705.90","16,781.10","16,474.20",217.96K,-0.96%
,27-Dec-22,"16,706.10","16,918.20","16,964.00","16,610.10",192.18K,-1.25%
,26-Dec-22,"16,918.10","16,831.80","16,936.10","16,799.40",133.36K,0.51%
,25-Dec-22,"16,831.80","16,835.70","16,852.90","16,733.00",132.89K,-0.03%
,24-Dec-22,"16,837.20","16,778.60","16,855.80","16,777.80",110.12K,0.35%
,23-Dec-22,"16,779.10","16,820.50","16,910.70","16,768.00",184.12K,-0.25%
,22-Dec-22,"16,820.60","16,831.80","16,862.20","16,566.10",198.28K,-0.07%
,21-Dec-22,"16,831.80","16,902.70","16,919.40","16,735.00",174.34K,-0.42%
,20-Dec-22,"16,902.80","16,441.30","17,031.30","16,400.70",284.57K,2.81%
,19-Dec-22,"16,441.30","16,741.10","16,809.50","16,331.20",207.93K,-1.79%
,18-Dec-22,"16,741.10","16,777.00","16,825.70","16,666.50",124.29K,-0.21%
,17-Dec-22,"16,777.10","16,629.00","16,794.40","16,587.00",164.49K,0.89%
,16-Dec-22,"16,629.60","17,356.70","17,518.50","16,542.40",303.56K,-4.19%
,15-Dec-22,"17,356.10","17,796.40","17,846.10","17,298.20",263.44K,-2.47%
,14-Dec-22,"17,796.40","17,778.60","18,351.80","17,682.10",318.98K,0.10%
,13-Dec-22,"17,778.60","17,210.90","17,951.60","17,094.50",328.71K,3.30%
,12-Dec-22,"17,210.40","17,093.20","17,232.50","16,878.50",249.39K,0.68%
,11-Dec-22,"17,093.30","17,127.00","17,262.90","17,080.60",167.20K,-0.20%
,10-Dec-22,"17,127.20","17,125.70","17,220.50","17,105.70",148.81K,0.01%
,9-Dec-22,"17,125.70","17,225.60","17,288.60","17,082.10",260.84K,-0.58%
,8-Dec-22,"17,225.70","16,835.20","17,294.20","16,765.80",261.64K,2.32%
,7-Dec-22,"16,835.20","17,089.40","17,126.70","16,715.30",244.36K,-1.49%
,6-Dec-22,"17,089.30","16,966.30","17,101.10","16,914.90",246.19K,0.72%
,5-Dec-22,"16,966.50","17,106.90","17,395.20","16,886.90",268.72K,-0.85%
,4-Dec-22,"17,112.60","16,884.80","17,198.10","16,881.60",197.12K,1.35%
,3-Dec-22,"16,884.50","17,093.40","17,132.60","16,862.10",169.29K,-1.22%
,2-Dec-22,"17,093.60","16,972.20","17,096.20","16,799.90",227.01K,0.72%
,1-Dec-22,"16,972.00","17,163.40","17,244.70","16,868.90",266.14K,-1.12%
,30-Nov-22,"17,163.90","16,440.80","17,215.50","16,433.20",348.22K,4.40%
,29-Nov-22,"16,440.40","16,211.90","16,531.40","16,100.10",271.58K,1.41%
,28-Nov-22,"16,211.70","16,426.10","16,481.40","16,013.50",284.84K,-1.30%
,27-Nov-22,"16,425.60","16,456.40","16,595.40","16,414.60",173.25K,-0.19%
,26-Nov-22,"16,456.50","16,512.30","16,686.30","16,387.90",194.94K,-0.34%
,25-Nov-22,"16,512.30","16,600.60","16,611.80","16,360.90",204.07K,-0.54%
